adult,backdrop_path,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,genres,tmdbUrl
False,/lgkPzcOSnTvjeMnuFzozRO5HHw1.jpg,en,Despicable Me 4,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",3824.644,/wWba3TaojhK7NdycRhoQpsG0FaH.jpg,2024-06-20,Despicable Me 4,False,7.257,612,"Animation,Family,Comedy,Action",https://www.themoviedb.org/movie/519182
False,/stKGOm8UyhuLPR9sZLjs5AkmncA.jpg,en,Inside Out 2,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",3628.807,/vpnVM9B6NMmQpWeZvzLvDESb2QY.jpg,2024-06-11,Inside Out 2,False,7.626,2271,"Animation,Family,Adventure,Comedy",https://www.themoviedb.org/movie/1022789
False,/Akv9GlCCMrzcDkVz4ad8MdLl9DK.jpg,en,The Garfield Movie,"Garfield, the world-famous, Monday-hating, lasagna-loving indoor cat, is about to have a wild outdoor adventure! After an unexpected reunion with his long-lost father – scruffy street cat Vic – Garfield and his canine friend Odie are forced from their perfectly pampered life into joining Vic in a hilarious, high-stakes heist.",1476.332,/p6AbOJvMQhBmffd0PIv0u8ghWeY.jpg,2024-04-30,The Garfield Movie,False,7.207,677,"Animation,Comedy,Family,Adventure",https://www.themoviedb.org/movie/748783
False,/1XDDXPXGiI8id7MrUxK36ke7gkX.jpg,en,Kung Fu Panda 4,"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past.",536.13,/kDp1vUBnMpe8ak4rjgl3cLELqjU.jpg,2024-03-02,Kung Fu Panda 4,False,7.136,2365,"Animation,Family,Fantasy",https://www.themoviedb.org/movie/1011985
FALSE,/auXrHU6O17n9Tz11SHReoorjrU6.jpg,en,Leo,"Jaded 74-year-old lizard Leo has been stuck in the same Florida classroom for decades with his terrarium-mate turtle. When he learns he only has one year left to live, he plans to escape to experience life on the outside but instead gets caught up in the problems of his anxious students — including an impossibly mean substitute teacher.",198.608,/pD6sL4vntUOXHmuvJPPZAgvyfd9.jpg,2023-11-17,Leo,FALSE,7.496,994,"Animation,Comedy,Family",https://www.themoviedb.org/movie/1075794
FALSE,/ehumsuIBbgAe1hg343oszCLrAfI.jpg,en,Wish,"Asha, a sharp-witted idealist, makes a wish so powerful that it is answered by a cosmic force – a little ball of boundless energy called Star. Together, Asha and Star confront a most formidable foe - the ruler of Rosas, King Magnifico - to save her community and prove that when the will of one courageous human connects with the magic of the stars, wondrous things can happen.",413.369,/AcoVfiv1rrWOmAdpnAMnM56ki19.jpg,2023-11-13,Wish,FALSE,6.617,878,"Animation,Family,Fantasy,Adventure",https://www.themoviedb.org/movie/1022796
FALSE,/aNG1BSIULxbHtUmBiar0i3fR1S4.jpg,en,Chicken Run: Dawn of the Nugget,A band of fearless chickens flock together to save poultry-kind from an unsettling new threat: a nearby farm that's cooking up something suspicious.,111.749,/uR03YFvc7rZg8Yb1uOKekIS084A.jpg,2023-12-08,Chicken Run: Dawn of the Nugget,FALSE,7.082,607,"Family,Animation,Adventure,Comedy",https://www.themoviedb.org/movie/520758
FALSE,/gklkxY0veMajdCiGe6ggsh07VG2.jpg,en,Migration,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.",813.287,/ldfCF9RhR40mppkzmftxapaHeTo.jpg,2023-12-06,Migration,FALSE,7.564,951,"Animation,Action,Adventure,Comedy,Family",https://www.themoviedb.org/movie/940551
FALSE,/zMtBbNhROxPf0urHSBoZUnqJEwT.jpg,en,Trolls Band Together,"When Branch's brother, Floyd, is kidnapped for his musical talents by a pair of nefarious pop-star villains, Branch and Poppy embark on a harrowing and emotional journey to reunite the other brothers and rescue Floyd from a fate even worse than pop-culture obscurity.",229.524,/bkpPTZUdq31UGDovmszsg2CchiI.jpg,2023-10-12,Trolls Band Together,FALSE,7.317,693,"Animation,Family,Music,Fantasy,Comedy",https://www.themoviedb.org/movie/901362
FALSE,/2Cpg8hUn60PK9CW9d5SWf605Ah8.jpg,en,Teenage Mutant Ninja Turtles: Mutant Mayhem,"After years of being sheltered from the human world, the Turtle brothers set out to win the hearts of New Yorkers and be accepted as normal teenagers through heroic acts. Their new friend April O'Neil helps them take on a mysterious crime syndicate, but they soon get in over their heads when an army of mutants is unleashed upon them.",119.923,/ueO9MYIOHO7M1PiMUeX74uf8fB9.jpg,2023-07-31,Teenage Mutant Ninja Turtles: Mutant Mayhem,FALSE,7.263,1102,"Animation,Comedy,Action,Science Fiction",https://www.themoviedb.org/movie/614930
