name,role,featuredFilm,filmReleasedYear,wikiLink,imageLink,otherFilms,palettes,fileName
Ignorance and Want,villain,A Christmas Carol,2009,https://disney.fandom.com/wiki/Ignorance_and_Want,https://static.wikia.nocookie.net/disney/images/8/88/Wantignorancedisney.jpg/revision/latest?cb=20201227161502,['A Christmas Carol'],"[(120, 3, 6), (160, 4, 15), (140, 2, 28), (120, 0, 44), (26, 4, 63)]",A_Christmas_Carol-Ignorance_and_Want.webp
Bob Cratchit,hero,A Christmas Carol,2009,https://disney.fandom.com/wiki/Bob_Cratchit,https://static.wikia.nocookie.net/disney/images/d/d9/Bobcratchitdisney.jpg,['A Christmas Carol'],"[(24, 27, 15), (28, 35, 7), (24, 24, 22), (11, 26, 35), (9, 30, 54)]",A_Christmas_Carol-Bob_Cratchit.webp
Fezziwig,hero,A Christmas Carol,2009,https://disney.fandom.com/wiki/Fezziwig,https://static.wikia.nocookie.net/disney/images/1/13/Fezziwigdisney.jpg,['A Christmas Carol'],"[(49, 16, 14), (25, 46, 30), (33, 33, 5), (23, 48, 36), (29, 39, 22)]",A_Christmas_Carol-Fezziwig.webp
Tiny Tim,hero,A Christmas Carol,2009,https://disney.fandom.com/wiki/Tiny_Tim,https://static.wikia.nocookie.net/disney/images/e/ed/Tinytimdisney.jpg,['A Christmas Carol'],"[(24, 43, 7), (25, 34, 15), (19, 32, 28), (14, 31, 42), (13, 34, 61)]",A_Christmas_Carol-Tiny_Tim.webp
Fan,heroine,A Christmas Carol,2009,https://disney.fandom.com/wiki/Fan,https://static.wikia.nocookie.net/disney/images/3/3f/Carol-disneyscreencaps_com-4180.jpg,['A Christmas Carol'],"[(220, 33, 2), (270, 9, 4), (0, 4, 9), (0, 11, 7), (180, 2, 12)]",A_Christmas_Carol-Fan.webp
Mrs. Cratchit,heroine,A Christmas Carol,2009,https://disney.fandom.com/wiki/Mrs._Cratchit,https://static.wikia.nocookie.net/disney/images/5/55/Mrscrathitdisney.jpg,['A Christmas Carol'],"[(17, 30, 9), (18, 45, 4), (21, 20, 14), (16, 18, 21), (17, 16, 32)]",A_Christmas_Carol-Mrs__Cratchit.webp
Max Goof,protagonist,A Goofy Movie,1995,https://disney.fandom.com/wiki/Max_Goof,https://static.wikia.nocookie.net/disney/images/5/56/Max_Goof.png/revision/latest?cb=20190328022920,"['A Goofy Movie', 'The Spirit of Mickey', 'Disneys Sing-Along Songs: Happy Haunting: Party at Disneyland!', 'Mickeys Once Upon a Christmas', 'An Extremely Goofy Movie', 'Mickeys House of Villains', 'Mickeys Twice Upon a Christmas', 'Chip n Dale Rescue Rangers']","[(25, 83, 93), (357, 92, 52), (51, 73, 56), (267, 48, 46), (22, 35, 6)]",A_Goofy_Movie-Max_Goof.webp
Bigfoot,villain,A Goofy Movie,1995,https://disney.fandom.com/wiki/Bigfoot,https://static.wikia.nocookie.net/disney/images/f/f5/Profile_-_Bigfoot.jpg/revision/latest?cb=20221027232329,"['A Goofy Movie', 'Bedtime Stories', 'Monsters Inc.', 'Chip n Dale: Rescue Rangers']","[(9, 70, 33), (18, 50, 65), (11, 52, 20), (12, 30, 52), (353, 42, 77)]",A_Goofy_Movie-Bigfoot.webp
Bobby Zimuruski,hero,A Goofy Movie,1995,https://disney.fandom.com/wiki/Bobby_Zimuruski,https://static.wikia.nocookie.net/disney/images/7/72/Profile_-_Bobby_Zimuruski.jpg,"['A Goofy Movie', 'An Extremely Goofy Movie']","[(293, 13, 51), (270, 20, 69), (23, 53, 43), (243, 36, 25), (34, 56, 10)]",A_Goofy_Movie-Bobby_Zimuruski.webp
P.J.,hero,A Goofy Movie,1995,https://disney.fandom.com/wiki/P.J.,https://static.wikia.nocookie.net/disney/images/2/26/P.J._Goof_Troop.png,"['A Goofy Movie', 'An Extremely Goofy Movie']","[(188, 52, 41), (342, 58, 46), (28, 43, 52), (28, 41, 75), (40, 30, 17)]",A_Goofy_Movie-P_J_.webp
