adult,backdrop_path,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,genres,tmdbUrl
False,/dsGwCEO8tda4FlgHKvL95f0oQbH.jpg,en,Justice League: Crisis on Infinite Earths Part Three,"Now fully revealed as the ultimate threat to existence, the Anti-Monitor wages an unrelenting attack on the surviving Earths that struggle for survival in a pocket universe. One by one, these worlds and all their inhabitants are vaporized! On the planets that remain, even time itself is shattered, and heroes from the past join the Justice League and their rag-tag allies against the epitome of evil. But as they make their last stand, will the sacrifice of the superheroes be enough to save us all?",1098.505,/a3q8NkM8uTh9E23VsbUOdDSbBeN.jpg,2024-07-16,Justice League: Crisis on Infinite Earths Part Three,False,7.551,127,"Animation,Science Fiction,Action",https://www.themoviedb.org/movie/1209290
False,/lgkPzcOSnTvjeMnuFzozRO5HHw1.jpg,en,Despicable Me 4,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",3824.644,/wWba3TaojhK7NdycRhoQpsG0FaH.jpg,2024-06-20,Despicable Me 4,False,7.257,612,"Animation,Family,Comedy,Action",https://www.themoviedb.org/movie/519182
False,/wdUnHg8bOmTkHzkvxSY9sCeqJ6q.jpg,en,Ultraman: Rising,"A star athlete reluctantly returns home to take over his father's duties as Ultraman, shielding Tokyo from giant monsters as he becomes a legendary hero.",186.405,/yy4PktMbJfMp4H8GFAssBxHt0tY.jpg,2024-06-14,Ultraman: Rising,False,8.397,218,"Animation,Science Fiction,Family,Action",https://www.themoviedb.org/movie/829402
False,/stKGOm8UyhuLPR9sZLjs5AkmncA.jpg,en,Inside Out 2,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",3628.807,/vpnVM9B6NMmQpWeZvzLvDESb2QY.jpg,2024-06-11,Inside Out 2,False,7.626,2271,"Animation,Family,Adventure,Comedy",https://www.themoviedb.org/movie/1022789
False,/kti9ufHhCKaOLjg2to4RKfrlkmh.jpg,ja,範馬刃牙VSケンガンアシュラ,"It's the ultimate showdown. The toughest fighters from ""Baki Hanma"" and ""Kengan Ashura"" clash in this unprecedented, hard-hitting martial arts crossover.",177.473,/etbHJxil0wHvYOCmibzFLsMcl2C.jpg,2024-06-05,Baki Hanma VS Kengan Ashura,False,7.857,213,"Animation,Action",https://www.themoviedb.org/movie/1263421
False,/2nqr42Dvh6GMVECYjVG82zzJL7N.jpg,en,South Park: The End of Obesity,"The advent of new weight loss drugs has a huge impact on everyone in South Park. When Cartman is denied access to the life-changing medicine, the kids jump into action.",79.688,/zxM1AIKBP83plf2buLR0cbGfvl2.jpg,2024-05-24,South Park: The End of Obesity,False,7.7,116,"Animation,Comedy,TV Movie",https://www.themoviedb.org/movie/1290938
False,/AuKXTyCVzeIdtTe1NAQnJa1ZC7I.jpg,en,Thelma the Unicorn,"Thelma dreams of being a glamorous unicorn. Then in a rare pink and glitter-filled moment of fate, Thelma's wish comes true. She rises to instant international stardom, but at an unexpected cost. After a while, Thelma realizes that she was happier as her ordinary, sparkle-free self. So she ditches her horn, scrubs off her sparkles, and returns home, where her best friend is waiting for her with a hug.",192.316,/yutiEZ7taGDNau2jGjKIdDwQpDw.jpg,2024-05-17,Thelma the Unicorn,False,7.0,127,"Animation,Fantasy,Family",https://www.themoviedb.org/movie/739547
False,/Akv9GlCCMrzcDkVz4ad8MdLl9DK.jpg,en,The Garfield Movie,"Garfield, the world-famous, Monday-hating, lasagna-loving indoor cat, is about to have a wild outdoor adventure! After an unexpected reunion with his long-lost father – scruffy street cat Vic – Garfield and his canine friend Odie are forced from their perfectly pampered life into joining Vic in a hilarious, high-stakes heist.",1476.332,/p6AbOJvMQhBmffd0PIv0u8ghWeY.jpg,2024-04-30,The Garfield Movie,False,7.207,677,"Animation,Comedy,Family,Adventure",https://www.themoviedb.org/movie/748783
False,/tBmJCH9llj1Q9jDOS7vGWnl7GVj.jpg,en,Justice League: Crisis on Infinite Earths Part Two,"An endless army of shadow demons bent on the destruction of all reality swarms over our world and all parallel Earths! The only thing opposing them is the mightiest team of metahumans ever assembled. But not even the combined power of Superman, Batman, Wonder Woman, Green Lantern and all their fellow superheroes can slow down the onslaught of this invincible horde. What mysterious force is driving them? And how do the long-buried secrets of the Monitor and Supergirl threaten to crush our last defense?",167.947,/g8ak4QAGLZpqMs3CpnFHWWfIzJQ.jpg,2024-04-23,Justice League: Crisis on Infinite Earths Part Two,False,7.003,146,"Animation,Science Fiction,Action",https://www.themoviedb.org/movie/1209288
False,/cIztAxDn3H8JylRaJwiHHpkGe53.jpg,en,Woody Woodpecker Goes to Camp,"After getting kicked out of the forest, Woody thinks he's found a forever home at Camp Woo Hoo — until an inspector threatens to shut down the camp.",161.359,/8XDazivGT3GAS9B03ldph4STwCv.jpg,2024-04-12,Woody Woodpecker Goes to Camp,False,6.61,141,"Family,Comedy,Animation",https://www.themoviedb.org/movie/1239146
False,/1XDDXPXGiI8id7MrUxK36ke7gkX.jpg,en,Kung Fu Panda 4,"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past.",536.13,/kDp1vUBnMpe8ak4rjgl3cLELqjU.jpg,2024-03-02,Kung Fu Panda 4,False,7.136,2365,"Animation,Family,Fantasy",https://www.themoviedb.org/movie/1011985
False,/3Kzc6V4MWs3RXCmE5DhAYnfWL8F.jpg,en,Megamind vs. the Doom Syndicate,"Megamind's former villain team, The Doom Syndicate, has returned. Our newly crowned blue hero must now keep up evil appearances until he can assemble his friends (Roxanne, Ol' Chum and Keiko) to stop his former evil teammates from launching Metro City to the Moon.",191.663,/1N7terrMeZPwK5qq31MUD0HQ3IG.jpg,2024-03-29,Megamind vs. the Doom Syndicate,False,4.807,114,"Animation,Comedy,Science Fiction",https://www.themoviedb.org/movie/1239251
False,/zLj0peaxy5y2SlC6wNIQ4V0pfqg.jpg,en,Orion and the Dark,"A boy with an active imagination faces his fears on an unforgettable journey through the night with his new friend: a giant, smiling creature named Dark.",134.174,/k6iHs4daxm0RQqFQsE8oE5wWJjj.jpg,2024-02-01,Orion and the Dark,False,6.591,450,"Animation,Family,Comedy,Fantasy",https://www.themoviedb.org/movie/1139829
