title,original_title,studio,associate_studios,original_language,tmdb_release_date,IAD_release_date,genres,poster_path,IAD_link,tmdbUrl
Mooned,Mooned,Illumination Entertainment,,English,2023-12-06,2023-12-22,"Family,Comedy",/rhxmlGe6mi7437ykXd1P11EWfzO.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=91490,https://www.themoviedb.org/movie/1207417
Leo,Leo,Netflix,Animal Logic,English,2023-11-17,2023-11-21,"Comedy,Family",/pD6sL4vntUOXHmuvJPPZAgvyfd9.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=88830,https://www.themoviedb.org/movie/1075794
Under the Boardwalk,Under the Boardwalk,Paramount Animation,,English,2023-10-27,2023-10-27,"Comedy,Family,Romance",/dYubl9T67KKgggQUawHs0xYMWEU.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=71735,https://www.themoviedb.org/movie/609271
Chicken Run: Dawn of the Nugget,Chicken Run: Dawn of the Nugget,Aardman,"StudioCanal, Pathé",English,2023-12-08,2023-12-15,"Family,Adventure,Comedy",/uR03YFvc7rZg8Yb1uOKekIS084A.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=84719,https://www.themoviedb.org/movie/520758
Migration,Migration,Illumination Entertainment,Skywalker Sound,English,2023-12-06,2023-12-22,"Action,Adventure,Comedy,Family",/ldfCF9RhR40mppkzmftxapaHeTo.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=83340,https://www.themoviedb.org/movie/940551
Strawberry Shortcake and the Beast of Berry Bog,Strawberry Shortcake and the Beast of Berry Bog,WildBrain,,English,2023-09-22,2023-09-22,Family,/43SdiZr9z9TqY5liPkY4j7GvJUt.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=93540,https://www.themoviedb.org/movie/1186402
PAW Patrol: The Mighty Movie,PAW Patrol: The Mighty Movie,Spin Master Entertainment,Mikros Image,English,2023-09-21,2023-09-29,"Family,Action,Science Fiction,Comedy,Drama,Adventure",/aTvePCU7exLepwg5hWySjwxojQK.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=78036,https://www.themoviedb.org/movie/893723
The Swan Princess: Far Longer Than Forever,The Swan Princess: Far Longer Than Forever,StreetLight Animation,,English,2023-09-19,2023-09-19,"Family,Adventure",/dWyxPokAp4eiJXWriYbNvU2v1V.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=89161,https://www.themoviedb.org/movie/1175959
Polly Pocket Sparkle Cove Adventure,Polly Pocket Sparkle Cove Adventure,WildBrain,Inspidea,English,2023-08-21,2023-08-21,Family,/bBCQXZwOJx5DBpD0UghypK61pCQ.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=89853,https://www.themoviedb.org/movie/1168183
Snoopy Presents: One-of-a-Kind Marcie,Snoopy Presents: One-of-a-Kind Marcie,WildBrain,,English,2023-08-17,2023-08-18,Family,/lFDPyo6mdooNcHvgy17gz1GEjg4.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=85022,https://www.themoviedb.org/movie/1128604
The Monkey King,The Monkey King,Netflix,,English,2023-08-11,2023-08-18,"Fantasy,Adventure,Family,Comedy",/i6ye8ueFhVE5pXatgyRrZ83LBD8.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=87343,https://www.themoviedb.org/movie/832502
