movieId,minute,neutral,positive,negative
8399288,7,5,11,0
8399288,8,64,14,1
8399288,9,79,0,28
8399288,10,40,0,0
8399288,11,0,0,2
8399288,12,85,0,0
8399288,13,21,16,4
8399288,14,18,0,5
8399288,17,44,0,0
8399288,18,12,4,0
8399288,19,21,37,0
8399288,21,34,2,1
8399288,22,41,3,5
8399288,23,14,1,0
8399288,24,47,2,2
8399288,25,12,8,0
8399288,26,7,4,0
8399288,27,13,3,0
8399288,28,37,0,0
8399288,29,9,6,0
8399288,31,11,10,0
8399288,32,51,8,0
8399288,40,18,0,0
8399288,41,45,1,1
8399288,42,6,12,0
8399288,43,5,4,0
8399288,44,40,7,7
8399288,45,35,8,0
8399288,46,89,18,0
8399288,47,80,4,9
8399288,48,59,9,4
8399288,49,28,11,3
8399288,50,7,0,2
8399288,51,39,24,10
8399288,52,70,22,6
8399288,53,126,6,0
8399288,54,150,8,0
8399288,55,130,19,7
8399288,56,116,8,1
8399288,57,4,0,0
8399288,58,37,7,0
8399288,59,12,1,5
8399288,60,4,0,0
8399288,67,9,0,0
8399288,68,10,0,0
8399288,69,5,0,0
8399288,70,21,0,11
8399288,71,14,0,1
8399288,72,32,11,4
8399288,73,39,4,5
8399288,74,42,14,14
8399288,75,43,3,2
8399288,78,0,3,0
8399288,79,21,0,0
8399288,80,39,9,1
8399288,81,31,9,2
8399288,82,41,3,9
8399288,83,54,9,8
8399288,84,11,2,2
8399288,85,34,6,0
8399288,86,32,22,3
8399288,87,9,7,9
8399288,88,20,0,3
8399288,89,1,6,1
8399288,90,10,6,1
8399288,92,1,0,0
8399288,97,0,6,9
8399288,100,17,7,1
8399288,101,21,2,0
8399288,102,16,2,0
8399288,104,17,0,6
8399288,105,23,0,3
8399288,106,32,0,0
8399288,107,21,5,0
8399288,108,11,0,3
8399288,109,5,0,4
8399288,110,6,1,4
8399288,111,6,0,0
8399288,113,12,0,4
8399288,115,24,0,0
8399288,122,89,0,7
8399288,123,43,0,11
1588895,4,1,0,0
1588895,8,13,0,2
1588895,9,33,15,0
1588895,10,56,5,14
1588895,11,70,15,3
1588895,12,26,7,0
1588895,15,41,5,9
1588895,16,39,23,10
1588895,17,98,13,3
1588895,18,48,3,5
1588895,19,59,26,6
1588895,20,28,0,0
1588895,21,11,0,0
1588895,22,21,0,3
1588895,23,43,7,0
1588895,24,70,0,7
1588895,25,34,0,0
1588895,26,26,2,0
1588895,27,13,0,0
1588895,28,33,1,3
1588895,29,30,11,2
1588895,30,64,6,4
1588895,31,27,5,13
1588895,32,57,0,4
1588895,33,77,17,12
1588895,34,62,7,3
1588895,35,19,8,0
1588895,36,31,0,0
1588895,37,1,5,0
1588895,38,45,2,2
1588895,39,65,10,4
1588895,40,53,6,0
1588895,41,23,0,7
1588895,42,28,16,4
1588895,43,14,2,0
1588895,44,26,0,9
1588895,45,12,1,6
1588895,46,37,3,41
1588895,47,15,0,15
1588895,53,9,0,0
1588895,54,28,0,1
1588895,55,14,0,0
1588895,56,0,0,4
1588895,57,10,5,6
1588895,58,48,13,15
1588895,59,3,4,0
